"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2024","61.81","61.51","61.81","60.78","2.12M","1.56%"
"10/04/2024","60.86","60.12","61.38","60.05","3.16M","1.28%"
"10/03/2024","60.09","60.68","60.75","59.67","2.72M","-1.43%"
"10/02/2024","60.96","61.01","61.57","60.63","1.86M","-0.29%"
"10/01/2024","61.14","61.67","62.03","60.52","3.02M","-0.67%"
"09/30/2024","61.55","62.46","62.49","61.26","3.40M","-2.76%"
"09/27/2024","63.30","62.98","63.68","62.81","2.47M","0.09%"
"09/26/2024","63.24","62.90","63.78","62.84","2.17M","1.49%"
"09/25/2024","62.31","62.22","62.66","61.58","1.65M","-0.81%"
"09/24/2024","62.82","62.89","63.52","62.69","1.97M","0.66%"
"09/23/2024","62.41","64.80","64.85","61.51","3.82M","-3.66%"
"09/20/2024","64.78","65.30","65.60","64.52","4.56M","-0.60%"
"09/19/2024","65.17","65.00","65.20","64.68","2.27M","1.59%"
"09/18/2024","64.15","64.10","64.54","63.99","1.50M","-0.47%"
"09/17/2024","64.45","63.69","64.54","63.69","2.20M","1.83%"
"09/16/2024","63.29","63.00","63.42","62.73","","-0.13%"
"09/13/2024","63.37","63.38","63.98","63.34","1.56M","-0.16%"
"09/12/2024","63.47","63.29","63.90","62.80","2.43M","1.37%"
"09/11/2024","62.61","62.62","63.06","61.76","1.73M","0.69%"
"09/10/2024","62.18","62.51","63.22","61.95","1.53M","-0.62%"
"09/09/2024","62.57","62.20","63.01","62.08","1.69M","0.63%"
"09/06/2024","62.18","63.29","63.60","61.89","2.82M","-2.25%"
"09/05/2024","63.61","61.58","63.84","61.54","2.75M","2.73%"
"09/04/2024","61.92","60.71","62.11","60.54","1.70M","0.39%"
"09/03/2024","61.68","62.56","62.89","61.15","2.13M","-1.20%"
"09/02/2024","62.43","62.52","62.79","61.83","868.05K","-0.24%"
"08/30/2024","62.58","62.59","62.76","62.23","2.28M","0.76%"
"08/29/2024","62.11","61.80","62.58","61.80","1.48M","0.37%"
"08/28/2024","61.88","62.17","62.28","61.53","1.19M","-0.18%"
"08/27/2024","61.99","61.39","62.20","61.39","1.39M","0.88%"
"08/26/2024","61.45","61.50","61.75","61.15","824.52K","0.05%"
"08/23/2024","61.42","61.45","61.61","61.03","1.54M","0.56%"
"08/22/2024","61.08","61.16","61.54","60.89","1.22M","-0.16%"
"08/21/2024","61.18","60.81","61.41","60.67","1.42M","0.44%"
"08/20/2024","60.91","61.52","61.65","60.63","1.39M","-0.73%"
"08/19/2024","61.36","61.28","61.86","61.18","1.40M","0.39%"
"08/16/2024","61.12","60.63","61.29","60.55","1.85M","1.07%"
"08/15/2024","60.47","59.93","60.90","59.61","1.90M","1.21%"
"08/14/2024","59.75","59.75","59.79","59.39","1.80M","0.81%"
"08/13/2024","59.27","59.71","59.71","58.95","1.41M","0.03%"
"08/12/2024","59.25","59.66","59.79","59.11","1.36M","0.00%"
"08/09/2024","59.25","59.77","60.26","58.98","1.73M","-0.29%"
"08/08/2024","59.42","59.17","59.60","58.45","1.70M","-0.07%"
"08/07/2024","59.46","58.86","60.06","58.40","3.85M","2.82%"
"08/06/2024","57.83","59.62","59.65","57.45","3.47M","-1.31%"
"08/05/2024","58.60","56.76","58.76","55.84","4.85M","-1.78%"
"08/02/2024","59.66","61.15","61.16","59.15","4.65M","-2.93%"
"08/01/2024","61.46","62.99","63.01","61.18","3.79M","-3.15%"
"07/31/2024","63.46","64.28","64.38","63.06","2.63M","-1.21%"
"07/30/2024","64.24","63.82","64.74","63.73","1.46M","0.52%"
"07/29/2024","63.91","65.05","65.12","63.32","1.86M","-0.85%"
"07/26/2024","64.46","64.56","65.03","64.32","1.72M","-0.15%"
"07/25/2024","64.56","63.55","64.65","62.71","2.23M","0.75%"
"07/24/2024","64.08","64.80","64.85","62.90","2.67M","-0.94%"
"07/23/2024","64.69","64.53","65.04","64.18","2.56M","0.25%"
"07/22/2024","64.53","63.40","64.59","63.18","2.58M","2.35%"
"07/19/2024","63.05","63.05","63.24","62.66","2.76M","-0.94%"
"07/18/2024","63.65","63.39","63.73","63.04","2.13M","0.98%"
"07/17/2024","63.03","62.37","63.37","62.22","1.89M","0.74%"
"07/16/2024","62.57","62.36","62.74","61.96","1.35M","-0.27%"
"07/15/2024","62.74","62.05","62.86","61.65","1.58M","0.48%"
"07/12/2024","62.44","62.23","62.73","62.07","1.80M","0.68%"
"07/11/2024","62.02","62.00","62.46","61.62","1.69M","0.65%"
"07/10/2024","61.62","61.36","61.94","60.80","1.92M","0.90%"
"07/09/2024","61.07","62.12","62.33","60.54","3.86M","-2.35%"
"07/08/2024","62.54","63.00","64.18","62.54","3.01M","-1.76%"
"07/05/2024","63.66","64.08","64.10","63.17","2.36M","-0.41%"
"07/04/2024","63.92","63.50","64.50","63.33","2.80M","1.90%"
"07/03/2024","62.73","61.75","63.18","61.55","3.56M","2.45%"
"07/02/2024","61.23","61.21","61.47","60.43","2.58M","-0.71%"
"07/01/2024","61.67","62.90","62.96","60.96","4.66M","3.59%"
"06/28/2024","59.53","60.33","60.36","59.18","4.48M","-0.82%"
"06/27/2024","60.02","60.45","60.68","59.58","3.44M","-0.38%"
"06/26/2024","60.25","60.76","61.28","59.96","3.25M","-0.51%"
"06/25/2024","60.56","61.42","61.51","60.22","3.41M","-1.16%"
"06/24/2024","61.27","59.40","61.42","59.40","3.80M","3.27%"
"06/21/2024","59.33","60.00","60.48","58.72","6.38M","-1.30%"
"06/20/2024","60.11","58.98","60.34","58.83","2.74M","2.38%"
"06/19/2024","58.71","59.90","59.90","58.58","2.95M","-1.26%"
"06/18/2024","59.46","59.80","60.12","58.71","2.72M","0.54%"
"06/17/2024","59.14","58.75","59.59","58.10","4.34M","1.25%"
"06/14/2024","58.41","59.77","59.87","57.36","8.62M","-2.65%"
"06/13/2024","60.00","61.62","61.76","58.98","5.97M","-2.94%"
"06/12/2024","61.82","60.80","62.09","60.80","4.63M","1.76%"
"06/11/2024","60.75","63.65","63.75","60.37","6.75M","-3.89%"
"06/10/2024","63.21","61.00","63.68","60.50","7.51M","-4.76%"
"06/07/2024","66.37","66.85","67.11","66.06","2.12M","-0.72%"
"06/06/2024","66.85","66.59","67.16","65.68","2.18M","0.94%"
"06/05/2024","66.23","66.94","67.09","66.04","1.61M","-0.90%"
"06/04/2024","66.83","67.75","67.79","66.32","2.45M","-1.81%"
"06/03/2024","68.06","68.50","68.66","67.91","1.42M","0.53%"
"05/31/2024","67.70","68.01","68.23","67.37","3.29M","-0.13%"
"05/30/2024","67.79","66.43","67.79","66.38","1.65M","1.28%"
"05/29/2024","66.93","67.93","68.07","66.56","1.87M","-1.27%"
"05/28/2024","67.79","67.15","67.79","67.11","1.39M","1.09%"
"05/27/2024","67.06","67.26","67.30","66.81","962.50K","-0.22%"
"05/24/2024","67.21","66.54","67.30","66.23","1.33M","0.18%"
"05/23/2024","67.09","67.61","67.83","66.86","1.59M","-0.64%"
"05/22/2024","67.52","68.13","68.27","67.45","1.61M","-1.20%"
"05/21/2024","68.34","68.30","68.50","67.06","4.20M","-6.26%"
"05/20/2024","72.90","72.35","73.08","72.29","2.09M","0.82%"
"05/17/2024","72.31","71.79","72.31","71.69","2.80M","0.98%"
"05/16/2024","71.61","71.68","71.89","71.24","1.34M","-0.20%"
"05/15/2024","71.75","71.67","72.04","71.48","1.80M","0.32%"
"05/14/2024","71.52","71.37","71.90","71.01","1.76M","-0.15%"
"05/13/2024","71.63","71.50","72.17","71.17","1.87M","0.60%"
"05/10/2024","71.20","70.80","71.73","70.80","2.52M","0.84%"
"05/09/2024","70.61","69.99","70.76","69.92","1.69M","0.96%"
"05/08/2024","69.94","69.63","70.12","69.12","2.04M","0.49%"
"05/07/2024","69.60","68.69","69.74","68.69","2.45M","2.01%"
"05/06/2024","68.23","67.67","68.36","67.40","1.07M","0.87%"
"05/03/2024","67.64","68.00","68.31","67.32","1.78M","0.28%"
"05/02/2024","67.45","67.61","67.97","67.04","1.77M","-0.24%"
"04/30/2024","67.61","68.30","68.49","67.34","2.34M","-0.16%"
"04/29/2024","67.72","67.60","68.27","67.41","2.45M","1.06%"
"04/26/2024","67.01","68.96","69.08","66.72","3.21M","-1.97%"
"04/25/2024","68.36","68.68","69.55","67.58","3.64M","0.93%"
"04/24/2024","67.73","67.77","68.48","67.37","3.37M","-0.47%"
"04/23/2024","68.05","66.80","68.26","66.80","3.11M","2.15%"
