"Date","Price","Open","High","Low","Vol.","Change %"
"03/19/2024","64.30","62.99","64.42","62.81","4.73M","2.67%"
"03/18/2024","62.63","62.48","63.00","62.37","3.01M","0.24%"
"03/15/2024","62.48","62.73","63.42","62.48","14.60M","-0.37%"
"03/14/2024","62.71","61.91","62.75","61.76","6.91M","1.57%"
"03/13/2024","61.74","60.69","61.87","60.53","4.22M","1.76%"
"03/12/2024","60.67","60.62","60.90","60.31","3.51M","0.90%"
"03/11/2024","60.13","59.87","60.29","59.77","2.71M","0.13%"
"03/08/2024","60.05","60.21","60.73","60.04","3.28M","0.22%"
"03/07/2024","59.92","59.68","60.21","59.53","3.15M","-0.10%"
"03/06/2024","59.98","59.26","60.25","59.18","3.49M","1.39%"
"03/05/2024","59.16","59.05","59.29","58.71","3.10M","-0.39%"
"03/04/2024","59.39","59.49","60.04","59.23","2.74M","-0.69%"
"03/01/2024","59.80","59.22","59.84","59.14","3.01M","1.37%"
"02/29/2024","58.99","59.14","59.61","58.99","14.24M","-0.69%"
"02/28/2024","59.40","59.44","59.67","59.08","2.79M","-0.17%"
"02/27/2024","59.50","59.08","59.89","59.05","2.37M","0.52%"
"02/26/2024","59.19","59.18","59.27","58.57","2.86M","-0.79%"
"02/23/2024","59.66","59.11","59.72","58.93","3.26M","0.90%"
"02/22/2024","59.13","59.22","59.76","58.78","3.54M","0.36%"
"02/21/2024","58.92","58.50","59.13","58.32","3.22M","0.55%"
"02/20/2024","58.60","59.46","59.66","58.58","3.44M","-1.83%"
"02/19/2024","59.69","60.08","60.24","59.48","2.31M","-0.33%"
"02/16/2024","59.89","60.31","60.42","59.56","4.85M","0.23%"
"02/15/2024","59.75","59.75","60.24","58.67","5.50M","-1.11%"
"02/14/2024","60.42","60.43","60.69","60.06","2.96M","0.20%"
"02/13/2024","60.30","59.97","60.91","59.57","3.14M","0.80%"
"02/12/2024","59.82","59.75","60.09","59.46","3.06M","0.17%"
