"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/2025","495.85","496.20","497.80","485.95","793.01K","1.63%"
"04/30/2025","487.90","490.90","493.35","483.20","889.22K","-0.29%"
"04/29/2025","489.30","499.70","503.20","489.30","711.37K","-2.53%"
"04/28/2025","502.00","502.30","507.10","501.10","517.43K","0.64%"
"04/25/2025","498.80","504.00","506.50","497.25","561.90K","-0.18%"
"04/24/2025","499.70","490.25","501.80","486.05","605.88K","-0.12%"
"04/23/2025","500.30","492.35","515.10","491.85","844.26K","2.67%"
"04/22/2025","487.30","489.45","489.80","471.25","809.14K","0.35%"
"04/17/2025","485.60","482.10","493.30","480.95","902.70K","0.08%"
"04/16/2025","485.20","483.00","489.00","479.30","1.09M","-0.71%"
"04/15/2025","488.65","501.00","502.40","484.75","1.69M","-7.82%"
"04/14/2025","530.10","535.00","536.00","524.60","593.48K","1.09%"
"04/11/2025","524.40","528.20","532.00","512.80","574.90K","0.04%"
"04/10/2025","524.20","547.40","548.00","520.40","912.11K","5.18%"
"04/09/2025","498.40","496.70","510.60","494.15","984.16K","-4.12%"
"04/08/2025","519.80","517.40","526.80","501.30","902.07K","2.40%"
"04/07/2025","507.60","500.00","539.60","482.55","1.53M","-4.23%"
"04/04/2025","530.00","544.20","547.90","521.70","1.17M","-2.38%"
"04/03/2025","542.90","561.70","563.00","541.30","907.03K","-5.62%"
"04/02/2025","575.20","572.70","578.00","571.30","423.44K","0.02%"
"04/01/2025","575.10","579.10","579.30","572.10","485.07K","0.59%"
"03/31/2025","571.70","580.00","582.00","567.90","657.68K","-2.62%"
"03/28/2025","587.10","584.70","590.00","580.80","619.97K","-0.34%"
"03/27/2025","589.10","590.50","594.40","586.20","500.51K","-0.91%"
"03/26/2025","594.50","599.20","600.10","591.80","427.92K","-0.64%"
"03/25/2025","598.30","598.00","605.50","596.20","455.18K","0.34%"
"03/24/2025","596.30","605.70","609.40","595.70","416.60K","-1.03%"
"03/21/2025","602.50","600.90","602.50","593.50","1.13M","-0.33%"
"03/20/2025","604.50","605.60","611.20","601.10","443.42K","-1.00%"
"03/19/2025","610.60","607.90","614.80","605.20","412.98K","0.10%"
"03/18/2025","610.00","612.60","616.20","608.20","456.80K","0.05%"
"03/17/2025","609.70","605.40","611.20","600.00","431.81K","0.76%"
"03/14/2025","605.10","604.00","619.40","600.10","583.74K","0.02%"
"03/13/2025","605.00","606.00","616.80","598.60","696.16K","-1.11%"
"03/12/2025","611.80","624.50","625.40","605.60","594.28K","-1.45%"
